original_Name,original_Father's Name,original_ID Number,original_Phone Number,original_Address,original_Specialty,lat,lon,formatted,housenumber,name,street,postcode,county,district,suburb,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Ahmed Nisar,Nisar Ahmed,14957-6362625-8,03902046103,"494 Street, Saddar,City",Auto Mechanic,33.9969805,71.5405062,"Hasrat Street, Nothia, Peshawar Cantonment 25000, Pakistan",,Hasrat Street,Hasrat Street,25000,,,Nothia,Peshawar Cantonment,Khyber Pakhtunkhwa,KP,Pakistan,pk,0.36855,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Haider,Ali Bilal,53250-3125780-8,03259205246,"301 Avenue, Kimari,City",Flat Tire Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Haider,Qazi Mairaj Muhammad,93001-4052135-4,03922987294,"167 Road, Orangi,Town",Key Maker,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Nisar,Muhammad Muhammad,11471-3146240-8,03697641059,"851 Road, Five Star,Town",Auto Mechanic,33.990881,71.502397,"Railway Road, University Town, KP, Pakistan",,,Railway Road,,Peshawar,,University Town,,Khyber Pakhtunkhwa,KP,Pakistan,pk,0.2603571428571429,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Ahmed,Faizan Arsalan,79416-4528357-6,03706413160,"762 Road, Orangi,City",Denter,24.937067,67.007743,"Dr Adeeb Rizvi Road, Orangi Town Sector 6, Karachi, Pakistan",,,Dr Adeeb Rizvi Road,,Karachi,,Orangi Town Sector 6,Karachi,Sindh,SD,Pakistan,pk,0.3247695000000001,0.7290000000000001,0.5314410000000002,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Arsalan,Afzal Ali,97604-8838281-1,03346349604,"214 Street, Five Star,City",Key Maker,,,,,,,,,,,,,,,,,,,,,
Qazi Mairaj Qazi Mairaj,Faizan Qazi Mairaj,93732-7405582-2,03014484603,"944 Road, Johar,Town",Key Maker,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Ali Muhammad,Arsalan Qamar,31787-4029365-3,03741888077,"364 Road, Liaquatabad,Town",Flat Tire Mechanic,24.90037,67.044836,"‎SM Taufiq Road, Liaquatabad, Liquatabad Town 75900, Pakistan",,,‎SM Taufiq Road,75900,Karachi,A Area Liaquatabad,Liaquatabad,Liquatabad Town,Sindh,SD,Pakistan,pk,0.5634782608695652,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Muhammad,Afzal Muhammad,65973-5066159-7,03100056118,"907 Avenue, Orangi,Town",Auto Mechanic,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Qazi Mairaj,Bilal Nisar,35102-5926362-5,03336753966,"675 Avenue, Korangi,Town",Body-Mechanic,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.4242857142857143,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Nisar,Haider Hassan,97613-2458108-6,03160615336,"894 Avenue, Johar,City",Denter,,,,,,,,,,,,,,,,,,,,,
Arsalan Muhammad,Ahmed Hassan,26277-3524416-4,03837058321,"330 Avenue, Orangi,City",Painter,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Arsalan,Arsalan Bilal,34112-7571185-3,03741416140,"456 Street, Gulshan,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Faizan Hassan,Ali Faizan,69918-6506327-1,03552345084,"866 Street, Korangi,Town",Flat Tire Mechanic,24.839335,67.037831,"Dean Street, Frere Town, Karachi, Pakistan",,,Dean Street,,Karachi,,Frere Town,Karachi,Sindh,SD,Pakistan,pk,0.4242857142857143,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arsalan Qazi Mairaj,Haider Qazi Mairaj,75294-9877588-4,03573024836,"772 Avenue, Five Star,Town",Key Maker,24.964267200000002,67.05649281016869,"Sunny Avenue, ST-5 Shahrah-e-Zahid Hussain, Pukhtunabad, Karachi Division 75850, Pakistan",ST-5,Sunny Avenue,Shahrah-e-Zahid Hussain,75850,Karachi,North Karachi Sector 7 D 2,Pukhtunabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2700000000000001,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Muhammad,Afzal Faizan,19018-1264327-9,03475914800,"12 Street, Liaquatabad,Town",Electrician,24.898417,67.0502479,"Street 26, Liaquatabad, Liquatabad Town 75900, Pakistan",,Street 26,Street 26,75900,,B 1 Area Liaquatabad,Liaquatabad,Liquatabad Town,Sindh,SD,Pakistan,pk,0.47250000000000003,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Hassan,Arsalan Afzal,57797-4131833-7,03240210616,"289 Street, Five Star,Town",Key Maker,33.604644050000005,72.97120137171116,"289-G Street 1, I-14, Islamabad 45210, Pakistan",289-G,,Street 1,45210,,,I-14,Islamabad,Islamabad Capital Territory,IS,Pakistan,pk,0.2276381739130435,0.5103000000000001,0.45927000000000007,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Nisar,Bilal Hassan,78747-3574781-9,03336282639,"311 Avenue, Johar,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Hassan Muhammad,Haider Qazi Mairaj,55723-5020150-1,03413712538,"714 Road, Kimari,Town",Painter,24.8759114,67.179059,"Meezan Bank Jamia Millia Road Branch, Jamia Milla Road, Shah Faisal Town, Karachi Division 75210, Pakistan",,Meezan Bank Jamia Millia Road Branch,Jamia Milla Road,75210,Karachi,,Shah Faisal Town,Karachi Division,Sindh,SD,Pakistan,pk,0.32805000000000006,0.81,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Muhammad,Muhammad Muhammad,62239-4295719-5,03608153928,"99 Street, Korangi,Town",Auto Mechanic,33.716728,73.084071,"Street 99, Sector G-6, Islamabad, Pakistan",,,Street 99,,,,Sector G-6,Islamabad,Islamabad,IS,Pakistan,pk,0.5832,0.7290000000000001,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Bilal,Ahmed Hassan,58994-7991420-1,03137984046,"824 Road, Johar,City",Painter,,,,,,,,,,,,,,,,,,,,,
Qazi Mairaj Qazi Mairaj,Faizan Hassan,80288-6517443-4,03136176344,"506 Road, Liaquatabad,Town",Auto Mechanic,24.900508,67.040089,"Service Road, C Area Liaquatabad, Karachi 75900, Pakistan",,,Service Road,75900,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.5071304347826088,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Muhammad,Ali Nisar,65121-7909650-2,03910602900,"779 Road, Liaquatabad,City",Key Maker,24.900508,67.040089,"Service Road, C Area Liaquatabad, Karachi, Pakistan",,,Service Road,,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.5071304347826088,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Qamar,Bilal Muhammad,66652-8941438-2,03374082230,"794 Road, Orangi,Town",Denter,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Arsalan,Qazi Mairaj Arsalan,77150-3927572-9,03109335076,"969 Road, Five Star,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Arsalan Muhammad,Nisar Muhammad,25402-3868390-6,03839589214,"757 Avenue, Saddar,City",Body-Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Hassan,Afzal Haider,65202-3645400-7,03434627592,"801 Street, Five Star,City",Painter,,,,,,,,,,,,,,,,,,,,,
Arsalan Muhammad,Arsalan Qazi Mairaj,94900-4538236-9,03427952055,"847 Road, Johar,City",Key Maker,,,,,,,,,,,,,,,,,,,,,
Faizan Hassan,Bilal Nisar,75315-6839591-3,03629628516,"98 Avenue, Five Star,Town",Denter,24.8071242,67.0748111,"98 Popular Avenue, DHA Phase 6, Karachi Division 74500, Pakistan",98,,Popular Avenue,74500,Karachi,DHA Phase 6,DHA Phase 6,Karachi Division,Sindh,SD,Pakistan,pk,0.15061983471074378,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Afzal,Bilal Arsalan,70147-1247651-8,03229946081,"795 Avenue, Korangi,City",Body-Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Muhammad,Haider Bilal,34461-8564890-9,03156127313,"47 Street, Liaquatabad,Town",Painter,24.898424,67.042521,"47th Street, Liaquatabad, Liquatabad Town 75900, Pakistan",,,47th Street,75900,Karachi,Liaquatabad Block 5,Liaquatabad,Liquatabad Town,Sindh,SD,Pakistan,pk,0.675,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Faizan,Afzal Ahmed,13608-3369516-2,03488309083,"762 Avenue, Johar,City",Painter,,,,,,,,,,,,,,,,,,,,,
Muhammad Ahmed,Hassan Muhammad,82200-8396950-1,03917007915,"762 Road, Orangi,Town",Key Maker,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Ali,Arsalan Bilal,34496-7627315-5,03143471226,"605 Road, Kimari,City",Flat Tire Mechanic,24.8485925,67.00638491702443,"Karachi City, Station Road, Sultanabad, Karachi Division 72500, Pakistan",,Karachi City,Station Road,72500,,Central Business District,Sultanabad,Karachi Division,Sindh,SD,Pakistan,pk,0.3402000000000001,0.63,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Muhammad,Bilal Bilal,78075-5566803-2,03350317788,"467 Avenue, Five Star,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Nisar,Faizan Haider,73895-7549337-6,03885480947,"762 Avenue, Kimari,Town",Body-Mechanic,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Haider,Nisar Muhammad,38967-6499528-3,03282095398,"47 Avenue, Five Star,City",Denter,,,,,,,,,,,,,,,,,,,,,
Haider Qamar,Afzal Qazi Mairaj,55523-7481664-6,03120818860,"731 Street, Liaquatabad,Town",Auto Mechanic,24.8983421,67.0422072,"48th Street, Liaquatabad, Liquatabad Town 75900, Pakistan",,48th Street,48th Street,75900,Karachi,Liaquatabad Block 5,Liaquatabad,Liquatabad Town,Sindh,SD,Pakistan,pk,0.648,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Ali,Nisar Qazi Mairaj,61782-6835845-7,03718195251,"952 Street, Kimari,Town",Key Maker,33.559013,73.120304,"Street 42, Bahria Town, Rawalpindi, Pakistan",,,Street 42,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.315,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Ahmed,Afzal Faizan,77485-4154855-5,03215121951,"465 Road, Liaquatabad,City",Body-Mechanic,24.900508,67.040089,"Service Road, C Area Liaquatabad, Karachi, Pakistan",,,Service Road,,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.5071304347826088,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Qazi Mairaj,Hassan Ahmed,81508-7217010-1,03846975418,"567 Road, Gulshan,Town",Denter,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.6000000000000001,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Qamar Qazi Mairaj,Muhammad Bilal,70950-4939439-4,03360689309,"840 Road, Liaquatabad,City",Auto Mechanic,24.900508,67.040089,"Service Road, C Area Liaquatabad, Karachi, Pakistan",,,Service Road,,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.5071304347826088,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Muhammad,Afzal Qamar,98230-5082530-1,03815916545,"446 Road, Saddar,City",Painter,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Muhammad,Nisar Haider,99307-4624362-9,03548299538,"671 Street, Five Star,Town",Auto Mechanic,31.4709196,74.4153129,"D 671 Street 18, Rehman Villas, Lahore 54100, Pakistan",D 671,,Street 18,54100,Lahore,,Rehman Villas,Lahore,Punjab,PB,Pakistan,pk,0.10718336483931949,0.63,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Hassan,Faizan Haider,42809-9506004-5,03088435030,"658 Avenue, Orangi,City",Auto Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arsalan Haider,Ali Qamar,45571-2704375-4,03755732852,"43 Road, Orangi,Town",Electrician,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.6194117647058823,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Hassan,Qazi Mairaj Faizan,82277-6969016-1,03804180193,"776 Road, Johar,Town",Body-Mechanic,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Arsalan Bilal,Qazi Mairaj Hassan,17770-7578282-3,03752430017,"731 Street, Orangi,City",Painter,24.93745,66.998323,"Street 4, Orangi Town Sector 4, Karachi, Pakistan",,,Street 4,,Karachi,,Orangi Town Sector 4,Karachi,Sindh,SD,Pakistan,pk,0.4264650000000001,0.7290000000000001,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Muhammad,Muhammad Faizan,92420-3579245-6,03825183080,"670 Avenue, Kimari,City",Body-Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Afzal,Qazi Mairaj Nisar,73413-5717036-7,03589765846,"415 Road, Orangi,Town",Denter,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Bilal,Muhammad Nisar,23076-9591999-5,03901020704,"654 Street, Orangi,City",Body-Mechanic,24.93745,66.998323,"Street 4, Orangi Town Sector 4, Karachi, Pakistan",,,Street 4,,Karachi,,Orangi Town Sector 4,Karachi,Sindh,SD,Pakistan,pk,0.4264650000000001,0.7290000000000001,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Ahmed,Haider Afzal,82018-9839035-6,03130711509,"390 Street, Liaquatabad,Town",Key Maker,24.8983421,67.0422072,"48th Street, Liaquatabad, Liquatabad Town 75900, Pakistan",,48th Street,48th Street,75900,Karachi,Liaquatabad Block 5,Liaquatabad,Liquatabad Town,Sindh,SD,Pakistan,pk,0.648,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Ahmed,Ahmed Muhammad,55982-1763268-4,03950471468,"788 Street, Korangi,Town",Body-Mechanic,33.5531329,73.1359675,"788 Street 7, Bahria Town Phase 4, Islamabad 46220, Pakistan",788,,Street 7,46220,Rawalpindi District,,Bahria Town Phase 4,Islamabad,Punjab,PB,Pakistan,pk,0.5400000000000001,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Hassan,Qazi Mairaj Bilal,91778-7138575-7,03919303094,"619 Avenue, Johar,Town",Painter,24.9078919,67.1381622,"Bisma Avenue, Johar Chowrangi Road, Gulistan e Johar, Karachi Division 75300, Pakistan",,Bisma Avenue,Johar Chowrangi Road,75300,Karachi,Rufi Foundation,Gulistan e Johar,Karachi Division,Sindh,SD,Pakistan,pk,0.46042105263157895,0.81,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Ali,Muhammad Muhammad,79496-8853942-5,03977895606,"318 Avenue, Saddar,City",Key Maker,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Afzal,Muhammad Hassan,97670-4547086-2,03014156701,"882 Road, Saddar,City",Flat Tire Mechanic,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Arsalan,Nisar Arsalan,11820-7321471-8,03896351080,"247 Street, Five Star,City",Denter,,,,,,,,,,,,,,,,,,,,,
Haider Arsalan,Bilal Muhammad,71650-4064668-5,03294871879,"144 Street, Gulshan,Town",Painter,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.9,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Arsalan Qamar,Arsalan Hassan,83356-6975906-1,03927743816,"905 Avenue, Five Star,Town",Denter,24.964267200000002,67.05649281016869,"Sunny Avenue, ST-5 Shahrah-e-Zahid Hussain, Pukhtunabad, Karachi Division 75850, Pakistan",ST-5,Sunny Avenue,Shahrah-e-Zahid Hussain,75850,Karachi,North Karachi Sector 7 D 2,Pukhtunabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2700000000000001,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Muhammad,Hassan Nisar,85534-3776837-9,03974749087,"98 Road, Johar,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Qamar Qazi Mairaj,Hassan Nisar,99407-1313341-3,03312548568,"923 Avenue, Kimari,Town",Key Maker,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Qazi Mairaj,Arsalan Haider,19326-9893511-9,03883624005,"469 Street, Orangi,City",Auto Mechanic,24.93745,66.998323,"Street 4, Orangi Town Sector 4, Karachi, Pakistan",,,Street 4,,Karachi,,Orangi Town Sector 4,Karachi,Sindh,SD,Pakistan,pk,0.4264650000000001,0.7290000000000001,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arsalan Qamar,Afzal Nisar,24687-8501070-6,03670525784,"61 Street, Five Star,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Ahmed Ahmed,Muhammad Muhammad,75429-7198262-2,03923278713,"748 Avenue, Orangi,Town",Painter,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Arsalan,Nisar Bilal,10411-2454174-2,03200802074,"564 Street, Johar,Town",Painter,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Afzal Nisar,Afzal Bilal,19948-9773789-5,03289489947,"370 Road, Five Star,Town",Denter,33.60533575,72.96998407171117,"370-A Street 4, I-14, Islamabad 45210, Pakistan",370-A,,Street 4,45210,,,I-14,Islamabad,Islamabad Capital Territory,IS,Pakistan,pk,0.28431000000000006,0.63,0.5103000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Hassan,Afzal Muhammad,55631-4949319-6,03247358617,"661 Avenue, Johar,Town",Denter,24.9078919,67.1381622,"Bisma Avenue, Johar Chowrangi Road, Gulistan e Johar, Karachi Division 75300, Pakistan",,Bisma Avenue,Johar Chowrangi Road,75300,Karachi,Rufi Foundation,Gulistan e Johar,Karachi Division,Sindh,SD,Pakistan,pk,0.46042105263157895,0.81,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Afzal,Qamar Arsalan,84148-1071741-4,03914872451,"691 Street, Kimari,Town",Denter,31.4672141,74.4248508,"A 691 Street 27, Defence, Sultan Colony 54100, Pakistan",A 691,,Street 27,54100,Lahore,,Defence,Sultan Colony,Punjab,PB,Pakistan,pk,0.5670000000000001,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Ali,Haider Faizan,64720-9029149-7,03954224428,"162 Road, Saddar,City",Key Maker,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Muhammad,Ahmed Arsalan,77693-3625755-8,03751911000,"206 Street, Saddar,Town",Flat Tire Mechanic,24.7796313,67.05895545,"206 36th Street, DHA Phase 8, Karachi Division 74500, Pakistan",206,,36th Street,74500,Karachi,DHA Phase 6,DHA Phase 8,Karachi Division,Sindh,SD,Pakistan,pk,0.45,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Hassan,Arsalan Ahmed,94770-1488626-6,03094826781,"460 Avenue, Johar,Town",Flat Tire Mechanic,24.9078919,67.1381622,"Bisma Avenue, Johar Chowrangi Road, Gulistan e Johar, Karachi Division 75300, Pakistan",,Bisma Avenue,Johar Chowrangi Road,75300,Karachi,Rufi Foundation,Gulistan e Johar,Karachi Division,Sindh,SD,Pakistan,pk,0.46042105263157895,0.81,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Afzal,Afzal Qazi Mairaj,29023-7463384-9,03733333046,"220 Road, Liaquatabad,City",Denter,24.900508,67.040089,"Service Road, C Area Liaquatabad, Karachi, Pakistan",,,Service Road,,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.5071304347826088,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Ahmed,Muhammad Haider,22741-2259863-6,03014050686,"451 Road, Korangi,Town",Auto Mechanic,24.8470249,67.1619649,"Main Korangi Road, Bagh-e-Korangi, Landhi Town 75120, Pakistan",,Main Korangi Road,Main Korangi Road,75120,,Landhi Town,Bagh-e-Korangi,Landhi Town,Sindh,SD,Pakistan,pk,0.6138947368421053,0.9,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Bilal,Muhammad Haider,52274-5206394-2,03523426437,"184 Road, Johar,City",Electrician,,,,,,,,,,,,,,,,,,,,,
Muhammad Ali,Qazi Mairaj Qazi Mairaj,59380-7010639-8,03879622231,"764 Road, Five Star,City",Painter,,,,,,,,,,,,,,,,,,,,,
Hassan Bilal,Qazi Mairaj Haider,57019-5690006-6,03103709628,"528 Road, Johar,Town",Denter,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Faizan Muhammad,Qazi Mairaj Muhammad,61350-8113586-2,03512560218,"724 Road, Saddar,City",Key Maker,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
